edb_region,name,daily_charge,nzd_per_kwh.Uncontrolled,nzd_per_kwh.Controlled,nzd_per_kwh.All inclusive,nzd_per_kwh.Day,nzd_per_kwh.Night
Northpower,161734,2.6334999999999997,,,,0.28404999999999997,0.14145
Top Energy,160952,3.05095,,0.20884,,0.31349,0.19388999999999998
Vector,161752,1.7134999999999998,,,,0.23919999999999997,0.1541
Counties Power,10261,2.1734999999999998,0.30245,0.1863,,,
WEL Networks,161846,1.7939999999999998,,,,0.26105,0.16789999999999997
Unison Networks Ltd,10274,1.7365,,,,0.29324999999999996,0.1449
Horizon Energy Distribution,161836,2.1045,,,,0.2507,0.1495
Powerco,6816,1.035,,,,0.3197,0.20584999999999998
Waipa Networks Ltd,10972,1.035,,,,0.33579999999999993,0.14834999999999998
The Lines Company,170563,1.7479999999999998,,,,0.3128,0.16444999999999999
Firstlight Network,82038,2.9555,0.24494999999999997,0.21735,,,
Electra,10309,2.1734999999999998,,,,0.29555,0.1449
Scanpower Ltd,10995,1.035,,,,0.33464999999999995,0.21964999999999998
Wellington Electricity,172954,1.787445,,,,0.29324999999999996,0.14662499999999998
Network Tasman Ltd,83918,1.035,,,,0.28864999999999996,0.20929999999999999
Marlborough Lines Ltd,93318,3.0244999999999997,0.24034999999999998,0.1955,,,
MainPower NZ Ltd,161795,3.7719999999999994,,,,0.18975,0.1518
Orion New Zealand Ltd,95598,1.035,,,,0.2668,0.161
EA Networks,93603,1.035,0.25415,0.20009999999999997,,,
Westpower Ltd,94199,1.035,,,,0.37605,0.20009999999999997
Buller Electricity,94208,2.2885,,,,0.33349999999999996,0.2231
Alpine Energy,98028,3.1395,,,,0.19779999999999998,0.14375
Unknown,3205,1.035,0.30015,0.24034999999999998,,,
Aurora Energy,160746,2.0723,,,,0.35028999999999993,0.10855999999999999
OtagoNet,161076,2.8646499999999997,,,,0.34798999999999997,0.14329
Network Waitaki,161074,3.8179999999999996,,,,0.24564,0.11546
The Power Company Ltd,160808,2.3517499999999996,,,,0.32728999999999997,0.11373499999999999
Electricity Invercargill Ltd,97855,1.035,,,,0.2668,0.16329999999999997
