climate_zone,electricity_plan_name,natural_gas_plan_name,lpg_plan_name,wood_price_name,petrol_price_name,diesel_price_name,people_in_house,disconnect_gas,cooktop_type,annual_variable_cost,annual_kg_co2e
Hamilton,Electricity PlanId 160753,Methane PlanId 161166,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Piped gas,49.26612466124661,80.32520325203252
Hamilton,Electricity PlanId 160753,Methane PlanId 161166,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Bottled gas,100.50948509485096,88.15176151761518
Hamilton,Electricity PlanId 160753,Methane PlanId 161166,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric (coil or ceramic),45.29566395663956,18.88346883468834
Rotorua,Electricity PlanId 161005,Methane PlanId 161161,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric induction,45.00669918699186,17.08227642276423
Rotorua,Electricity PlanId 161005,Methane PlanId 161161,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Piped gas,85.26829268292683,80.32520325203252
Rotorua,Electricity PlanId 161005,Methane PlanId 161161,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Bottled gas,100.50948509485096,88.15176151761518
Rotorua,Electricity PlanId 161005,Methane PlanId 161161,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,True,Electric (coil or ceramic),49.75230352303522,18.88346883468834
Rotorua,Electricity PlanId 161005,Methane PlanId 161161,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Electric induction,45.00669918699186,17.08227642276423
Rotorua,Electricity PlanId 161005,Methane PlanId 161161,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Piped gas,85.26829268292683,80.32520325203252
Rotorua,Electricity PlanId 161005,Methane PlanId 161161,Default LPG Plan,Default Wood Price,Default Petrol Price,Default Diesel Price,1,False,Bottled gas,100.50948509485096,88.15176151761518
